SEED,setup,year,salinity,bg_mean,ag_mean,root_mean,age_mean,age_q95,age_max,no_trees,tdens,basal_area,dbh_mean,height_mean,gain,no_gain,no_groups,no_groups_bigger_2,gdens,no_grafted,gs_mean,gs_max,node_degree_mean,shape_mean,p_non_red,p_non_red_no2,fgraft,fgain,ROOTING,GRAFTING,RESOURCES
18782,setup_ENV_1_GRAFT_0_SPE_0_SEED_18782,500.083333333333,8.15800902008992,0.910663504448289,0.609353907968995,1.64080423859995,73.5978835978836,252.508333333333,306.5,63,700,336824.731845858,17.872364757554,9.91147742641707,0,0,8,3,88.8888888888889,36,4.5,15,1.37083333333333,1.07142857142857,75,33.3333333333333,57.1428571428571,0,0,0,1
18782,setup_ENV_1_GRAFT_0_SPE_0_SEED_18782,550.083333333333,9.83128495340863,0.89246101278541,0.615645293973774,1.59420203124421,58.0582329317269,238.425,356.5,83,922.222222222222,381151.169763228,16.4126698253881,9.06020710196746,0,0,7,5,77.7777777777778,59,8.42857142857143,26,1.93872793872794,1.26071428571429,28.5714285714286,0,71.0843373493976,0,0,0,1
18782,setup_ENV_1_GRAFT_0_SPE_0_SEED_18782,600,8.84129595931718,0.903070253665205,0.604759549913444,1.88057563529793,69.8510928961749,223.833333333333,357.75,61,677.777777777778,364772.364080893,20.5058205251182,10.8336384713027,0,0,5,4,55.5555555555556,42,8.4,21,1.95714285714286,1.22238095238095,40,25,68.8524590163934,0,0,0,1
18782,setup_ENV_1_GRAFT_0_SPE_1_SEED_18782,400.083333333333,7.24173840504729,0.920251173453702,0.51257770443681,1.84047993338229,119.015503875969,387.366666666666,400.083333333333,43,477.777777777778,367621.793496148,27.1052003120655,14.4660859001026,0,0,7,3,77.7777777777778,19,2.71428571428571,5,1.18095238095238,1,100,100,44.1860465116279,0,1,0,1
18782,setup_ENV_1_GRAFT_0_SPE_1_SEED_18782,450.083333333333,8.65365723876705,0.904985736892684,0.521300294668349,1.53264536354159,80.7719298245614,254.9,449.333333333333,57,633.333333333333,336212.204700209,21.3961650069887,12.2422896800674,0,0,14,3,155.555555555556,32,2.28571428571429,4,1.21428571428571,1.0952380952381,78.5714285714286,0,56.140350877193,0,1,0,1
18782,setup_ENV_1_GRAFT_0_SPE_1_SEED_18782,500.083333333333,8.66305326585454,0.904593005564181,0.499818952825205,1.84761581907313,94.7535460992908,220.591666666667,287.5,47,522.222222222222,392827.527166394,27.1140944382559,14.337985574308,0,0,10,4,111.111111111111,26,2.6,4,1.21666666666667,1.03333333333333,90,75,55.3191489361702,0,1,0,1
18782,setup_ENV_1_GRAFT_0_SPE_1_SEED_18782,550.083333333333,10.2434526524435,0.887044964695942,0.469490885680074,2.0489021593696,113.801136363636,243.916666666667,318.583333333333,44,488.888888888889,433728.717711995,30.6249265168323,15.5236305839601,0,0,7,3,77.7777777777778,28,4,9,1.36111111111111,1.05357142857143,85.7142857142857,66.6666666666667,63.6363636363636,0,1,0,1
18782,setup_ENV_1_GRAFT_0_SPE_1_SEED_18782,600,8.86325865535436,0.902582342070501,0.546826345494417,1.70760899258499,101.149305555556,284.433333333333,328.333333333333,48,533.333333333333,402349.115935438,24.9696032533208,12.8473532998005,0,0,9,4,100,26,2.88888888888889,5,1.28888888888889,1.05555555555556,88.8888888888889,75,54.1666666666667,0,1,0,1
18782,setup_ENV_1_GRAFT_0_SPE_2_SEED_18782,400.083333333333,9.21038846385195,0.898259815186236,0.422230947505776,1.77475062760521,134.017045454545,378.208333333333,400.083333333333,44,488.888888888889,456946.822456738,31.8907970289582,16.8227248955975,0,0,8,4,88.8888888888889,23,2.875,5,1.27083333333333,1.03125,87.5,75,52.2727272727273,0,2,0,1
18782,setup_ENV_1_GRAFT_0_SPE_2_SEED_18782,450.083333333333,8.75816052633112,0.903694521726975,0.496366899818778,1.37111046199234,99.7654320987654,242.966666666666,450,54,600,377726.233063333,23.3664058955974,13.2832897716183,0,0,12,3,133.333333333333,28,2.33333333333333,4,1.09722222222222,1,100,100,51.8518518518519,0,2,0,1
18782,setup_ENV_1_GRAFT_0_SPE_2_SEED_18782,500.083333333333,9.36551301362773,0.897186355833696,0.564879156269985,1.22312453296055,79.780303030303,232.541666666667,310.083333333333,66,733.333333333333,387964.109474729,20.2473209519643,11.7049658846915,0,0,10,3,111.111111111111,26,2.6,5,1.23333333333333,1.05833333333333,80,33.3333333333333,39.3939393939394,0,2,0,1
18782,setup_ENV_1_GRAFT_0_SPE_2_SEED_18782,550.083333333333,8.37467801911819,0.907835780644831,0.43831475735363,1.45488159256651,103.325320512821,269.8625,333.75,52,577.777777777778,416655.405559374,25.1512318379877,13.8829573358117,0,0,7,3,77.7777777777778,17,2.42857142857143,3,1.23809523809524,1.07142857142857,85.7142857142857,66.6666666666667,32.6923076923077,0,2,0,1
18782,setup_ENV_1_GRAFT_0_SPE_2_SEED_18782,600,8.49873254179012,0.906194375018991,0.44038298817499,1.67782731130002,134.571705426357,323.641666666667,383.666666666667,43,477.777777777778,425575.054391535,29.9099755378647,16.2152695236932,0,0,8,3,88.8888888888889,19,2.375,3,1.125,1,100,100,44.1860465116279,0,2,0,1
18782,setup_ENV_2_GRAFT_0_SPE_0_SEED_18782,400.083333333333,2.4522627402406,0.972918889262456,0.431374483438659,2.8855998707412,119.590909090909,216.604166666667,263.416666666667,44,488.888888888889,505659.520357604,34.1196557914031,16.5464044178884,0,0,2,2,22.2222222222222,43,21.5,38,2.68947368421053,1.53716216216216,0,0,97.7272727272727,0,0,0,2
18782,setup_ENV_2_GRAFT_0_SPE_0_SEED_18782,450.083333333333,5.52956854656324,0.939321699394406,0.529401303034454,1.93711479516868,87.5916666666666,243.675,313.416666666667,60,666.666666666667,422664.082527017,21.7583565745568,11.6599313784453,0,0,5,3,55.5555555555556,44,8.8,30,1.61333333333333,1.1051724137931,60,33.3333333333333,73.3333333333333,0,0,0,2
18782,setup_ENV_2_GRAFT_0_SPE_0_SEED_18782,500.083333333333,7.24158709541055,0.920746050950798,0.564497753997384,1.63664482054532,55.3235294117647,197.470833333333,255.833333333333,68,755.555555555556,325734.412352912,16.9431953729129,9.48577551118031,0,0,13,7,144.444444444444,50,3.84615384615385,9,1.44871794871795,1.09615384615385,76.9230769230769,57.1428571428571,73.5294117647059,0,0,0,2
