k,p_k,SPE,ENV,GRAFT,SEED,setup,year
2,0.410714285714286,0,0,1,18782,setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,550.083333333333
3,0.142857142857143,0,0,1,18782,setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,550.083333333333
4,0.107142857142857,0,0,1,18782,setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,550.083333333333
5,0.0178571428571429,0,0,1,18782,setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,550.083333333333
6,0.0178571428571429,0,0,1,18782,setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,550.083333333333
1,0.177777777777778,0,0,1,18782,setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,600
2,0.266666666666667,0,0,1,18782,setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,600
3,0.288888888888889,0,0,1,18782,setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,600
4,0.133333333333333,0,0,1,18782,setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,600
5,0.0666666666666667,0,0,1,18782,setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,600
6,0.0222222222222222,0,0,1,18782,setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,600
7,0.0444444444444444,0,0,1,18782,setup_ENV_0_GRAFT_1_SPE_0_SEED_18782,600
1,0.625,1,0,1,18782,setup_ENV_0_GRAFT_1_SPE_1_SEED_18782,400.083333333333
2,0.333333333333333,1,0,1,18782,setup_ENV_0_GRAFT_1_SPE_1_SEED_18782,400.083333333333
3,0.0416666666666667,1,0,1,18782,setup_ENV_0_GRAFT_1_SPE_1_SEED_18782,400.083333333333
1,0.821428571428571,1,0,1,18782,setup_ENV_0_GRAFT_1_SPE_1_SEED_18782,450.083333333333
2,0.107142857142857,1,0,1,18782,setup_ENV_0_GRAFT_1_SPE_1_SEED_18782,450.083333333333
3,0.0357142857142857,1,0,1,18782,setup_ENV_0_GRAFT_1_SPE_1_SEED_18782,450.083333333333
4,0.0357142857142857,1,0,1,18782,setup_ENV_0_GRAFT_1_SPE_1_SEED_18782,450.083333333333
1,0.862068965517241,1,0,1,18782,setup_ENV_0_GRAFT_1_SPE_1_SEED_18782,500.083333333333
2,0.103448275862069,1,0,1,18782,setup_ENV_0_GRAFT_1_SPE_1_SEED_18782,500.083333333333
3,0.0344827586206897,1,0,1,18782,setup_ENV_0_GRAFT_1_SPE_1_SEED_18782,500.083333333333
1,0.933333333333333,1,0,1,18782,setup_ENV_0_GRAFT_1_SPE_1_SEED_18782,550.083333333333
2,0.0666666666666667,1,0,1,18782,setup_ENV_0_GRAFT_1_SPE_1_SEED_18782,550.083333333333
1,0.538461538461538,1,0,1,18782,setup_ENV_0_GRAFT_1_SPE_1_SEED_18782,600
2,0.384615384615385,1,0,1,18782,setup_ENV_0_GRAFT_1_SPE_1_SEED_18782,600
3,0.0769230769230769,1,0,1,18782,setup_ENV_0_GRAFT_1_SPE_1_SEED_18782,600
1,0.961538461538461,2,0,1,18782,setup_ENV_0_GRAFT_1_SPE_2_SEED_18782,400.083333333333
3,0.0384615384615385,2,0,1,18782,setup_ENV_0_GRAFT_1_SPE_2_SEED_18782,400.083333333333
1,0.8125,2,0,1,18782,setup_ENV_0_GRAFT_1_SPE_2_SEED_18782,450.083333333333
2,0.125,2,0,1,18782,setup_ENV_0_GRAFT_1_SPE_2_SEED_18782,450.083333333333
3,0.0625,2,0,1,18782,setup_ENV_0_GRAFT_1_SPE_2_SEED_18782,450.083333333333
1,0.85,2,0,1,18782,setup_ENV_0_GRAFT_1_SPE_2_SEED_18782,500.083333333333
2,0.1,2,0,1,18782,setup_ENV_0_GRAFT_1_SPE_2_SEED_18782,500.083333333333
3,0.05,2,0,1,18782,setup_ENV_0_GRAFT_1_SPE_2_SEED_18782,500.083333333333
1,1,2,0,1,18782,setup_ENV_0_GRAFT_1_SPE_2_SEED_18782,550.083333333333
1,1,2,0,1,18782,setup_ENV_0_GRAFT_1_SPE_2_SEED_18782,600
1,0.454545454545455,0,0,2,18782,setup_ENV_0_GRAFT_2_SPE_0_SEED_18782,400.083333333333
2,0.424242424242424,0,0,2,18782,setup_ENV_0_GRAFT_2_SPE_0_SEED_18782,400.083333333333
3,0.0909090909090909,0,0,2,18782,setup_ENV_0_GRAFT_2_SPE_0_SEED_18782,400.083333333333
