continuous,alpha,xmin,logLik,KS.stat,KS.p,SPE,ENV,GRAFT,gsm,gsx
FALSE,3.76334577829533,1,-413.883994929619,0.016527003746884,0.935210010021642,2,1,3,2.4271186440678,5
FALSE,1.96315389292943,1,-5554.62379737283,0.245631937598916,0,0,2,0,12.5888294711824,40
FALSE,2.56992810122024,1,-2192.03891988107,0.103971883511207,6.15891233235163e-22,1,2,0,4.06365883807169,22
FALSE,3.10873133868395,1,-981.382536017701,0.0512226082355951,0.000528511820889887,2,2,0,2.7928870292887,8
FALSE,1.95765993684121,1,-5814.96653837878,0.238669404875189,0,0,2,1,14.2972896668549,37
FALSE,2.60340364506744,1,-2057.76557294348,0.0975924679841522,1.00422966713158e-18,1,2,1,3.8150064683053,13
FALSE,3.32867145034265,1,-780.854529645034,0.0311710316356656,0.115352810831788,2,2,1,2.71445086705202,6
FALSE,2.45489401030968,1,-2718.74591847722,0.125192886045652,1.81791376951458e-35,0,2,2,4.59296218487395,14
FALSE,3.16158694119712,1,-1009.67035046674,0.0448284731003458,0.00233654498525659,1,2,2,2.89064039408867,11
FALSE,3.9200846373819,1,-360.009098107016,0.0172702329008932,0.920684500192701,2,2,2,2.38256227758007,5
FALSE,2.49013405266689,1,-2455.30771210828,0.125452381880341,3.41796203314465e-33,0,2,3,3.96319723979298,10
FALSE,3.17429201362832,1,-970.459446243772,0.04302790637599,0.00478428254591036,1,2,3,2.76602238046796,7
FALSE,3.93868868063458,1,-331.857635252161,0.0124828802894195,0.998382883992791,2,2,3,2.3847619047619,5
FALSE,2,1,-5535.41524926981,0.501686771786982,0,0,3,0,72.9837106570955,102
FALSE,1.9428790055284,1,-2821.55087887125,0.243315810604389,0,1,3,0,15.6591173054588,42
FALSE,2.31391937316854,1,-1544.07632351416,0.1489139410658,3.10819569643685e-25,2,3,0,5.2861328125,16
FALSE,1.60217986876024,1,-5096.48223152024,0.338460171942166,0,0,3,1,72.1398063781321,102
FALSE,1.97099311386523,1,-2717.90072099775,0.229572482668254,0,1,3,1,20.1612515042118,62
FALSE,2.37551113609709,1,-1347.57748922024,0.129987106469157,7.09542543437847e-18,2,3,1,5.79978237214364,21
FALSE,2.12501661389341,1,-2304.62555459657,0.210775786029162,0,0,3,2,8.54558204768584,34
FALSE,2.44114961864159,1,-1317.07276546132,0.124467962503461,5.28108405389749e-17,1,3,2,4.53376906318083,13
FALSE,2.98183326218494,1,-545.562979853185,0.0601655925330755,0.00642208843376174,2,3,2,3.03427419354839,7
FALSE,2.06819502357675,1,-2577.9327437192,0.22830255093647,0,0,3,3,9.54955527318933,37
FALSE,2.517112496434,1,-1233.97202265815,0.122169400539981,2.07210483732361e-16,1,3,3,3.89705882352941,11
FALSE,2.9453827470839,1,-648.054135064404,0.0622263866794162,0.00166058966318419,2,3,3,3.05709342560554,7
FALSE,1.60996252264964,1,-4864.13694655647,0.332870154688796,0,0,4,0,68.4747444377631,99
FALSE,1.97293222476245,1,-2648.01889391996,0.229632558141488,0,1,4,0,15.7014188772363,43
FALSE,2.34554628379138,1,-1391.64518012856,0.144836171731547,3.36609881589548e-22,2,4,0,5.16613076098607,18
FALSE,2,1,-5138.14018773948,0.51326557185953,0,0,4,1,70.1225165562914,107
FALSE,1.98849260940049,1,-2649.77193316008,0.231576804095745,0,1,4,1,15.1972789115646,43
FALSE,2.32892811390608,1,-1565.47265075207,0.136039559499346,1.04240341474848e-21,2,4,1,5.35333333333333,18
FALSE,2.13186002791633,1,-2223.16156315611,0.210206230604239,0,0,4,2,8.77051561365287,30
FALSE,2.47097763395426,1,-1212.30916576107,0.131721535076973,5.74062821226975e-18,1,4,2,4.27647058823529,11
FALSE,2.90618980155082,1,-667.988381061626,0.0695883509318314,0.000280655250635037,2,4,2,2.98625429553265,7
FALSE,2.1330853074726,1,-2056.43238795225,0.210809684149219,0,0,4,3,8.34564021995287,37
FALSE,2.59915274946385,1,-1074.55910306846,0.100328412513428,1.72900951110927e-10,1,4,3,3.82835820895522,9
FALSE,2.9331226087949,1,-604.92815107409,0.0633114749790766,0.00224963874704876,2,4,3,3.10261194029851,8
FALSE,1.67641982252265,1,-4396.85056805888,0.312915038653458,0,0,5,0,54.0336134453782,79
FALSE,2.05534083982159,1,-2345.53128360747,0.202628821417228,0,1,5,0,11.8231245698555,45
FALSE,2.49480406168439,1,-1191.59007765715,0.108190097178482,2.66728581496304e-12,2,5,0,4.62177985948478,12
FALSE,1.66082803251936,1,-4839.06044958906,0.328747624672252,0,0,5,1,63.703446095479,104
FALSE,2.0221679001915,1,-2321.94370870478,0.216076216699911,0,1,5,1,9.91812456263121,29
FALSE,2.5428391859894,1,-1149.37833215686,0.102011756833072,4.89081741456437e-11,2,5,1,3.96195005945303,9
FALSE,2.08573731111137,1,-2471.81943176293,0.228432602151058,0,0,5,2,8.44400265076209,23
FALSE,2.54007235600017,1,-1137.36923881441,0.111113255240292,7.45112452120044e-13,1,5,2,4.25786924939467,12
FALSE,2.99067415656274,1,-534.374785308346,0.059523629220983,0.00784246148424363,2,5,2,2.86270491803279,6
