setup,year,groupSize,noLinks,groupID,dist_mean,dist_max,shape,gIDpy,SEED,ROOTING,RESOURCES,GRAFTING
setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,500.083333333333,2,1,gID_7,0.961876251426015,0.961876251426015,1,gID_40,18782,1,0,0
setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,500.083333333333,2,1,gID_8,2.01512173636841,2.01512173636841,1,gID_41,18782,1,0,0
setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,500.083333333333,3,2,gID_5,3.28409795297696,3.36501461994329,1,gID_25,18782,1,0,0
setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,500.083333333333,5,4,gID_2,3.89108189414676,5.04668443179227,1,gID_11,18782,1,0,0
setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,500.083333333333,8,7,gID_1,4.49542212887242,6.06934710250148,1,gID_13,18782,1,0,0
setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,550.083333333333,2,1,gID_1,3.27653182488617,3.27653182488617,1,gID_6,18782,1,0,0
setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,550.083333333333,2,1,gID_2,4.21450743150446,4.21450743150446,1,gID_11,18782,1,0,0
setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,550.083333333333,2,1,gID_3,3.20318128601063,3.20318128601063,1,gID_15,18782,1,0,0
setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,550.083333333333,2,1,gID_5,2.10572767017843,2.10572767017843,1,gID_27,18782,1,0,0
setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,550.083333333333,2,1,gID_8,0.653663645919409,0.653663645919409,1,gID_53,18782,1,0,0
setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,550.083333333333,3,2,gID_6,2.08478993387191,2.10031797850645,1,gID_29,18782,1,0,0
setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,550.083333333333,3,2,gID_7,1.63974324742532,1.69963066043916,1,gID_32,18782,1,0,0
setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,550.083333333333,6,5,gID_4,2.8607211242214,3.76934131420661,1,gID_20,18782,1,0,0
setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,600,2,1,gID_10,0.899302647028844,0.899302647028844,1,gID_47,18782,1,0,0
setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,600,2,1,gID_11,0.704873878523391,0.704873878523391,1,gID_50,18782,1,0,0
setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,600,2,1,gID_2,5.47380551283185,5.47380551283185,1,gID_4,18782,1,0,0
setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,600,2,1,gID_3,3.20318128601063,3.20318128601063,1,gID_10,18782,1,0,0
setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,600,2,1,gID_5,2.06926188923737,2.06926188923737,1,gID_18,18782,1,0,0
setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,600,2,1,gID_7,2.30486126840036,2.30486126840036,1,gID_31,18782,1,0,0
setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,600,2,1,gID_8,2.59999771628168,2.59999771628168,1,gID_35,18782,1,0,0
setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,600,3,2,gID_1,4.26646141394343,4.86633013392965,1,gID_21,18782,1,0,0
setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,600,3,2,gID_4,3.36808275365744,3.41396097349375,1,gID_16,18782,1,0,0
setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,600,3,3,gID_6,2.56454089956336,3.61722609283451,1.5,gID_25,18782,1,0,0
setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,600,4,3,gID_9,1.55272946638232,1.7471415827812,1,gID_40,18782,1,0,0
setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,400.083333333333,2,1,gID_1,3.57433221337091,3.57433221337091,1,gID_5,18782,2,0,0
setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,400.083333333333,2,1,gID_10,2.88395361230676,2.88395361230676,1,gID_32,18782,2,0,0
setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,400.083333333333,2,1,gID_12,0.838358842622728,0.838358842622728,1,gID_42,18782,2,0,0
setup_ENV_0_GRAFT_0_SPE_2_SEED_18782,400.083333333333,2,1,gID_13,1.07078100572115,1.07078100572115,1,gID_47,18782,2,0,0
