ROOTING,GRAFTING,RESOURCES,plant,rgf_age_grafted
0,0,0,Initial64319,4.16666666666667
0,0,0,Initial64364,3.75
0,0,0,Initial64502,2.58333333333333
0,0,0,Initial63829,9.25
0,0,0,Initial64447,4.08333333333333
0,0,0,Initial63745,10.9166666666667
0,0,0,Initial64112,7.83333333333333
0,0,0,Initial64625,6.58333333333333
0,0,0,Initial54557,91.5
0,0,0,Initial64548,8.25
0,0,0,Initial65177,4
0,0,0,Initial65253,3.33333333333333
0,0,0,Initial65174,5
0,0,0,Initial65332,3.66666666666667
0,0,0,Initial65085,6.75
0,0,0,Initial65259,5.33333333333333
0,0,0,Initial65345,4.58333333333333
0,0,0,Initial65307,5.91666666666667
0,0,0,Initial65337,5.66666666666667
0,0,0,Initial65372,5.33333333333333
0,0,0,Initial65382,5.25
0,0,0,Initial65471,4.5
0,0,0,Initial65699,2.66666666666667
0,0,0,Initial65722,2.41666666666667
0,0,0,Initial65739,2.33333333333333
0,0,0,Initial65200,7.83333333333333
0,0,0,Initial65171,9
0,0,0,Initial65794,3.83333333333333
0,0,0,Initial65877,3.16666666666667
0,0,0,Initial65605,6.41666666666667
0,0,0,Initial65901,3.91666666666667
0,0,0,Initial65450,8.75
0,0,0,Initial65583,7.58333333333333
0,0,0,Initial65799,5.83333333333333
0,0,0,Initial65883,5.08333333333333
0,0,0,Initial66107,3.25
0,0,0,Initial65381,10.25
0,0,0,Initial65437,9.83333333333333
0,0,0,Initial65702,7.58333333333333
0,0,0,Initial65829,6.58333333333333
0,0,0,Initial65910,5.91666666666667
0,0,0,Initial65924,5.75
0,0,0,Initial66308,3.58333333333333
0,0,0,Initial66374,3
0,0,0,Initial65573,11.6666666666667
0,0,0,Initial66711,6.16666666666667
0,0,0,Initial67560,4.16666666666667
0,0,0,Initial67666,3.25
0,0,0,Initial67498,5.66666666666667
0,0,0,Initial67774,3.33333333333333
0,0,0,Initial67609,5.75
0,0,0,Initial67660,6.33333333333333
0,0,0,Initial68002,3.41666666666667
0,0,0,Initial68065,2.91666666666667
0,0,0,Initial67762,7.41666666666667
0,0,0,Initial68080,4.83333333333333
0,0,0,Initial68247,3.41666666666667
1,0,0,Initial24511,195.833333333333
1,0,0,Initial28406,63.4166666666667
1,0,0,Initial29345,55.5833333333333
1,0,0,Initial29360,55.5
1,0,0,Initial29396,55.1666666666667
1,0,0,Initial29475,54.5
1,0,0,Initial29519,54.1666666666667
1,0,0,Initial29819,51.6666666666667
1,0,0,Initial30258,48
1,0,0,Initial32413,30
1,0,0,Initial32435,29.8333333333333
1,0,0,Initial32485,29.4166666666667
1,0,0,Initial32634,28.1666666666667
1,0,0,Initial32800,126.833333333333
1,0,0,Initial32899,26
1,0,0,Initial32909,25.9166666666667
1,0,0,Initial32922,25.75
1,0,0,Initial35067,7.91666666666667
1,0,0,Initial35098,7.66666666666667
1,0,0,Initial35110,7.58333333333333
1,0,0,Initial35704,52.5833333333333
1,0,0,Initial35804,51.75
1,0,0,Initial37044,41.4166666666667
1,0,0,Initial37137,40.6666666666667
1,0,0,Initial37193,40.1666666666667
1,0,0,Initial37209,90.0833333333333
1,0,0,Initial37230,39.9166666666667
1,0,0,Initial40795,10.1666666666667
1,0,0,Initial40805,10.0833333333333
1,0,0,Initial41718,52.5
1,0,0,Initial41814,51.6666666666667
1,0,0,Initial41847,51.4166666666667
1,0,0,Initial42888,42.75
1,0,0,Initial43993,33.5
1,0,0,Initial44171,32
1,0,0,Initial44195,31.8333333333333
1,0,0,Initial44461,29.5833333333333
1,0,0,Initial45476,21.1666666666667
1,0,0,Initial45501,20.9166666666667
1,0,0,Initial45511,20.8333333333333
1,0,0,Initial45654,19.6666666666667
1,0,0,Initial45692,19.3333333333333
1,0,0,Initial45734,19
1,0,0,Initial46703,10.9166666666667
1,0,0,Initial46783,10.25
1,0,0,Initial46897,9.33333333333333
1,0,0,Initial47153,7.16666666666667
1,0,0,Initial47369,5.41666666666667
1,0,0,Initial47442,6.75
1,0,0,Initial47535,6
1,0,0,Initial44114,37.5
1,0,0,Initial48929,4.41666666666667
1,0,0,Initial48980,4
1,0,0,Initial49043,3.41666666666667
1,0,0,Initial49092,3
1,0,0,Initial49201,2.08333333333333
1,0,0,Initial48766,6.75
1,0,0,Initial48909,5.58333333333333
1,0,0,Initial48925,5.41666666666667
1,0,0,Initial49085,4.08333333333333
1,0,0,Initial49110,3.91666666666667
1,0,0,Initial49255,2.66666666666667
1,0,0,Initial48884,6.75
1,0,0,Initial49019,5.66666666666667
1,0,0,Initial49064,5.25
1,0,0,Initial49236,3.83333333333333
1,0,0,Initial49006,6.75
1,0,0,Initial49021,6.58333333333333
1,0,0,Initial49065,6.25
1,0,0,Initial49121,5.75
1,0,0,Initial49206,5.08333333333333
1,0,0,Initial49400,3.5
1,0,0,Initial49446,3.08333333333333
1,0,0,Initial49515,2.5
1,0,0,Initial49268,5.58333333333333
1,0,0,Initial48947,9.25
1,0,0,Initial49087,8.08333333333333
1,0,0,Initial49425,5.25
1,0,0,Initial49768,2.41666666666667
1,0,0,Initial48888,10.75
1,0,0,Initial49024,9.58333333333333
1,0,0,Initial49335,7
1,0,0,Initial49694,4
1,0,0,Initial45537,40.6666666666667
1,0,0,Initial48964,14.0833333333333
1,0,0,Initial49385,10.5833333333333
1,0,0,Initial47430,37.9166666666667
1,0,0,Initial35297,148
1,0,0,Initial43004,86.75
1,0,0,Initial52404,25.4166666666667
1,0,0,Initial54505,7.91666666666667
1,0,0,Initial54960,4.16666666666667
1,0,0,Initial54433,9.5
1,0,0,Initial54508,8.91666666666667
1,0,0,Initial54333,11.3333333333333
1,0,0,Initial54534,9.66666666666667
1,0,0,Initial55169,5.41666666666667
1,0,0,Initial55361,3.75
1,0,0,Initial55326,6.08333333333333
1,0,0,Initial55689,3.08333333333333
1,0,0,Initial54442,14.4166666666667
1,0,0,Initial55552,5.16666666666667
1,0,0,Initial55543,6.25
1,0,0,Initial37922,157.083333333333
1,0,0,Initial56610,6.41666666666667
1,0,0,Initial56894,4
1,0,0,Initial52000,45.8333333333333
1,0,0,Initial56054,16
1,0,0,Initial57612,3
1,0,0,Initial57688,2.41666666666667
1,0,0,Initial57348,7.25
1,0,0,Initial56193,17.8333333333333
1,0,0,Initial56920,11.8333333333333
1,0,0,Initial57316,8.5
1,0,0,Initial57600,6.16666666666667
1,0,0,Initial57640,6.83333333333333
1,0,0,Initial58197,2.16666666666667
1,0,0,Initial57379,10
1,0,0,Initial57561,8.41666666666667
1,0,0,Initial58138,3.66666666666667
1,0,0,Initial58127,4.75
1,0,0,Initial57627,9.91666666666667
1,0,0,Initial57893,7.66666666666667
1,0,0,Initial61116,4.83333333333333
1,0,0,Initial61265,3.58333333333333
1,0,0,Initial43075,156.166666666667
1,0,0,Initial60940,8.33333333333333
1,0,0,Initial61047,7.41666666666667
1,0,0,Initial61113,6.83333333333333
1,0,0,Initial61406,4.41666666666667
1,0,0,Initial61620,2.66666666666667
1,0,0,Initial61312,6.16666666666667
1,0,0,Initial61365,5.75
1,0,0,Initial61374,5.66666666666667
1,0,0,Initial61445,5.08333333333333
1,0,0,Initial61597,3.83333333333333
1,0,0,Initial61256,7.66666666666667
1,0,0,Initial61297,7.33333333333333
1,0,0,Initial61489,5.75
1,0,0,Initial61454,12
1,0,0,Initial61629,10.5833333333333
1,0,0,Initial61788,9.25
1,0,0,Initial61118,16.8333333333333
1,0,0,Initial63642,5.75
1,0,0,Initial63944,3.25
1,0,0,Initial62150,19.25
1,0,0,Initial63725,6.08333333333333
1,0,0,Initial64091,3
1,0,0,Initial64114,2.83333333333333
1,0,0,Initial63894,7.66666666666667
1,0,0,Initial63912,7.5
1,0,0,Initial64040,6.5
1,0,0,Initial64276,4.5
1,0,0,Initial64269,7.58333333333333
1,0,0,Initial64288,7.41666666666667
1,0,0,Initial64725,3.75
1,0,0,Initial64741,3.58333333333333
1,0,0,Initial64324,9.08333333333333
1,0,0,Initial64432,8.16666666666667
1,0,0,Initial63901,15.5833333333333
1,0,0,Initial64204,13.0833333333333
1,0,0,Initial64464,10.9166666666667
1,0,0,Initial65432,4.83333333333333
1,0,0,Initial65542,3.91666666666667
1,0,0,Initial65018,9.33333333333333
1,0,0,Initial65666,3.91666666666667
1,0,0,Initial64881,11.4166666666667
1,0,0,Initial65328,7.75
1,0,0,Initial65434,6.83333333333333
1,0,0,Initial65819,3.66666666666667
1,0,0,Initial65902,5.91666666666667
1,0,0,Initial65959,5.5
1,0,0,Initial65960,5.5
1,0,0,Initial66079,4.5
1,0,0,Initial65759,8.16666666666667
1,0,0,Initial65800,7.83333333333333
1,0,0,Initial65837,7.5
1,0,0,Initial65849,7.41666666666667
1,0,0,Initial66103,5.25
1,0,0,Initial66436,2.5
1,0,0,Initial65822,8.58333333333333
1,0,0,Initial65509,12.25
1,0,0,Initial66083,8.41666666666667
1,0,0,Initial66209,7.41666666666667
1,0,0,Initial66246,7.08333333333333
1,0,0,Initial65856,13.3333333333333
1,0,0,Initial66303,9.58333333333333
1,0,0,Initial67093,4
1,0,0,Initial67222,2.91666666666667
1,0,0,Initial67165,4.41666666666667
1,0,0,Initial67180,4.33333333333333
1,0,0,Initial67355,2.83333333333333
1,0,0,Initial67422,2.25
1,0,0,Initial67058,6.33333333333333
1,0,0,Initial67196,5.16666666666667
1,0,0,Initial67360,3.83333333333333
1,0,0,Initial67405,3.41666666666667
1,0,0,Initial67080,7.16666666666667
1,0,0,Initial67432,4.16666666666667
1,0,0,Initial67190,7.25
1,0,0,Initial67306,6.25
1,0,0,Initial67335,6
1,0,0,Initial67463,5.91666666666667
1,0,0,Initial67417,7.33333333333333
1,0,0,Initial65772,22
1,0,0,Initial67162,10.4166666666667
1,0,0,Initial67083,12.0833333333333
1,0,0,Initial67115,11.8333333333333
1,0,0,Initial67506,8.58333333333333
1,0,0,Initial67466,9.91666666666667
1,0,0,Initial67467,9.91666666666667
1,0,0,Initial68058,5
1,0,0,Initial68110,4.58333333333333
1,0,0,Initial68178,4
1,0,0,Initial68247,3.41666666666667
