year,no_trees,dbh_mean,root_mean,fgraft,gsx,gsm,no_groups,setup,i
500,34,27.5145732892754,1.8623120197937,41.1764705882353,4,2.33333333333333,6,setup_41,41
600,46,26.8897854595673,1.86792712387101,76.0869565217391,6,3.18181818181818,11,setup_41,41
400,39,28.78079854826,1.95564231014751,56.4102564102564,5,2.75,8,setup_42,42
500,37,32.6594611033723,2.16302941665538,67.5675675675676,6,3.125,8,setup_42,42
600,46,24.9382171714886,1.72920411768924,45.6521739130435,3,2.33333333333333,9,setup_42,42
400,37,25.8433750558567,1.81191050672996,21.6216216216216,2,2,4,setup_43,43
500,41,26.1888263312574,1.82293985531168,36.5853658536585,2,1.875,8,setup_43,43
600,32,33.9803419664234,2.25123218077151,25,2,2,4,setup_43,43
400,40,25.5135907221553,1.72042936791628,32.5,3,2.16666666666667,6,setup_44,44
500,41,27.108187208337,1.84844129267198,29.2682926829268,3,2,6,setup_44,44
600,55,23.3207737772787,1.66025191815852,45.4545454545455,4,2.5,10,setup_44,44
400,75,15.9645622851861,1.1517413133498,21.3333333333333,3,2.28571428571429,7,setup_45,45
500,60,23.2989926676438,1.62295604448004,41.6666666666667,4,2.27272727272727,11,setup_45,45
600,84,15.5044629492663,1.14698522228434,29.7619047619048,3,1.92307692307692,13,setup_45,45
400,65,20.9845503879292,1.51341374823688,36.9230769230769,4,2.18181818181818,11,setup_46,46
500,137,10.1640528288664,0.874260133787299,36.4963503649635,5,1.92307692307692,26,setup_46,46
600,53,25.0639090341317,1.73204678110476,37.7358490566038,3,2,10,setup_46,46
400,189,9.77422727658918,0.950596443560333,47.6190476190476,4,2.04545454545455,44,setup_47,47
500,171,11.5609345963972,1.10295806138544,53.2163742690059,4,2.275,40,setup_47,47
600,177,9.70232730537524,0.956053919174311,39.5480225988701,4,1.70731707317073,41,setup_47,47
400,76,16.2667741094699,1.39459623296955,56.5789473684211,5,2.6875,16,setup_48,48
500,99,13.0384100865796,1.18293123403448,47.4747474747475,6,2.61111111111111,18,setup_48,48
600,79,16.6558490438037,1.39542316711523,69.620253164557,8,3.23529411764706,17,setup_48,48
400,71,15.4005320001772,1.3016891271564,53.5211267605634,7,2.71428571428571,14,setup_49,49
500,70,14.3185688657649,1.21213576511304,41.4285714285714,5,2.41666666666667,12,setup_49,49
600,80,14.9325768478387,1.26384606238598,50,8,3.33333333333333,12,setup_49,49
400,65,21.3354190523073,1.59794114242782,58.4615384615385,8,2.92307692307692,13,setup_5,5
500,42,24.8638326885676,1.80476531933498,57.1428571428571,6,3,8,setup_5,5
600,43,31.5041102683742,2.16352661307045,72.093023255814,6,3.1,10,setup_5,5
400,72,19.6417649428783,1.58909108075783,70.8333333333334,11,4.25,12,setup_50,50
500,72,21.391184944966,1.71387281049594,77.7777777777778,10,4.30769230769231,13,setup_50,50
600,79,17.8516054271006,1.48360756326452,62.0253164556962,8,3.5,14,setup_50,50
400,176,7.85946257839553,1.00858258552187,75.5681818181818,36,7,19,setup_51,51
500,219,9.94475128430967,1.20939450217036,87.2146118721461,147,15.9166666666667,12,setup_51,51
600,223,9.19829043983517,1.14420996772722,85.2017937219731,115,15.8333333333333,12,setup_51,51
400,686,6.32636808151875,0.854177296477195,87.7551020408163,571,50.1666666666667,12,setup_52,52
500,446,6.52671743757297,0.831434910809696,60.762331838565,246,20.8461538461538,13,setup_52,52
600,672,5.83300663516029,0.809260629645374,77.2321428571429,387,14.4166666666667,36,setup_52,52
400,423,9.57196093331484,1.14255069182148,64.0661938534279,6,2.63106796116505,103,setup_53,53
500,565,6.86819460398759,0.894403123344529,44.070796460177,4,2.20353982300885,113,setup_53,53
600,468,8.30352411402512,1.02964871249551,67.0940170940171,7,2.57377049180328,122,setup_53,53
400,907,4.46893044810961,0.679940689249625,79.4928335170893,414,14.1372549019608,51,setup_54,54
500,605,7.49859687846729,0.977111139804381,96.0330578512397,578,193.666666666667,3,setup_54,54
600,440,5.10128723644585,0.730152990994339,87.5,371,64.1666666666667,6,setup_54,54
400,550,5.76099913843236,0.789649665109733,83.6363636363636,383,30.6666666666667,15,setup_55,55
500,611,5.08947957244691,0.704923031021957,63.5024549918167,170,12.125,32,setup_55,55
600,709,6.82336327781435,0.921281672782527,96.6149506346968,682,228.333333333333,3,setup_55,55
400,1448,2.66191147110553,0.476606856276109,71.3397790055249,708,15.1911764705882,68,setup_56,56
500,913,1.98070753437368,0.387905417971258,39.539978094195,23,4.40243902439024,82,setup_56,56
600,1142,3.23853773669135,0.537383249979287,74.430823117338,616,16.3461538461538,52,setup_56,56
400,1066,2.2744118859937,0.42929968913841,60.1313320825516,494,19.4242424242424,33,setup_57,57
500,945,1.57531764885268,0.341285355893513,30.8994708994709,9,2.89108910891089,101,setup_57,57
600,565,1.08868581583148,0.265951940933031,0,0,0,0,setup_57,57
400,1067,1.38423419850934,0.314453685104421,14.058106841612,15,2.72727272727273,55,setup_58,58
500,797,1.30694778745637,0.300171034988902,14.8055207026349,8,2.56521739130435,46,setup_58,58
600,1120,1.67446177597951,0.351808477179265,36.7857142857143,130,9.15555555555556,45,setup_58,58
400,90,19.9096318904937,1.56852927031414,80,21,4.8,15,setup_59,59
500,251,9.25266271879828,0.966128781591733,88.8446215139442,27,5.86842105263158,38,setup_59,59
600,166,12.3218379169891,1.12063961328923,84.3373493975904,27,5.6,25,setup_59,59
400,70,15.1198832609817,1.25400971828866,48.5714285714286,4,2.83333333333333,12,setup_6,6
500,76,16.4536891620647,1.36379369954541,51.3157894736842,5,2.78571428571429,14,setup_6,6
600,50,20.6300821085648,1.55906481653143,44,6,3.66666666666667,6,setup_6,6
400,110,14.4591690699269,1.19988317976065,60,10,3,22,setup_60,60
500,122,13.2311955385255,1.12341317358522,56.5573770491803,15,3.13636363636364,22,setup_60,60
600,129,13.0423799923617,1.14794339019922,72.093023255814,8,4.22727272727273,22,setup_60,60
400,190,8.69303314752299,0.85603460374309,62.6315789473684,8,2.83333333333333,42,setup_61,61
500,105,14.9344754829952,1.27608913468147,72.3809523809524,10,4,19,setup_61,61
600,89,19.4566747248187,1.54228078760134,79.7752808988764,11,4.73333333333333,15,setup_61,61
