mu,mu_star,sigma,mu_star_conf,input_var,ts,output_var
-29.3333333333333,189.666666666667,411.808867327886,232.845588607872,f_radius,400,gsx
77.1666666666667,79.1666666666667,165.509035223884,98.9407629137243,salinity,400,gsx
-66.5,170.5,403.404072462106,219.106191959667,amplitude,400,gsx
41.5,113.166666666667,232.680900020968,116.57746535152,deviation,400,gsx
120.5,122.5,222.966877349668,125.912261923218,f_growth,400,gsx
-15.5,53.8333333333333,106.643660713473,57.1827056031743,k_die,400,gsx
98.5,98.8333333333333,279.123904961556,173.234761348179,recruits,400,gsx
-53.6666666666667,58.6666666666667,127.147722000343,73.4144539218811,f_radius,500,gsx
251.333333333333,258,431.500253923219,247.193215001472,salinity,500,gsx
127.166666666667,129.833333333333,237.295786147704,153.193227319031,amplitude,500,gsx
